stock  init_M_per_szgroup
0 0.7264
0 0.3508
0 0.2283
0 0.169
0 0.1341
0 0.1111
0 0.0949
0 0.0828
0 0.0734
0 0.0659
0 0.0598
0 0.0548
0 0.0505
0 0.0469
1 0.7264
1 0.3508
1 0.2283
1 0.169
1 0.1341
1 0.1111
1 0.0949
1 0.0828
1 0.0734
1 0.0659
1 0.0598
1 0.0548
1 0.0505
1 0.0469
2 0.7264
2 0.3508
2 0.2283
2 0.169
2 0.1341
2 0.1111
2 0.0949
2 0.0828
2 0.0734
2 0.0659
2 0.0598
2 0.0548
2 0.0505
2 0.0469
3 0.7264
3 0.3508
3 0.2283
3 0.169
3 0.1341
3 0.1111
3 0.0949
3 0.0828
3 0.0734
3 0.0659
3 0.0598
3 0.0548
3 0.0505
3 0.0469
4 0.7264
4 0.3508
4 0.2283
4 0.169
4 0.1341
4 0.1111
4 0.0949
4 0.0828
4 0.0734
4 0.0659
4 0.0598
4 0.0548
4 0.0505
4 0.0469
5 0.7264
5 0.3508
5 0.2283
5 0.169
5 0.1341
5 0.1111
5 0.0949
5 0.0828
5 0.0734
5 0.0659
5 0.0598
5 0.0548
5 0.0505
5 0.0469
6 0.7264
6 0.3508
6 0.2283
6 0.169
6 0.1341
6 0.1111
6 0.0949
6 0.0828
6 0.0734
6 0.0659
6 0.0598
6 0.0548
6 0.0505
6 0.0469
7 0.7264
7 0.3508
7 0.2283
7 0.169
7 0.1341
7 0.1111
7 0.0949
7 0.0828
7 0.0734
7 0.0659
7 0.0598
7 0.0548
7 0.0505
7 0.0469
8 0.7264
8 0.3508
8 0.2283
8 0.169
8 0.1341
8 0.1111
8 0.0949
8 0.0828
8 0.0734
8 0.0659
8 0.0598
8 0.0548
8 0.0505
8 0.0469
