pt_graph cpue_kghour
9547 1.15
9547 0
9547 3.64
9547 2.16
9547 2
9547 2.88
9547 0
9547 0
9547 0
9546 1.15
9546 0
9546 3.64
9546 2.16
9546 2
9546 2.88
9546 0
9546 0
9546 0
9545 1.15
9545 0
9545 3.64
9545 2.16
9545 2
9545 2.88
9545 0
9545 0
9545 0
9623 1.15
9623 0
9623 3.64
9623 2.16
9623 2
9623 2.88
9623 0
9623 0
9623 0
9622 1.15
9622 0
9622 3.64
9622 2.16
9622 2
9622 2.88
9622 0
9622 0
9622 0
9621 1.15
9621 0
9621 3.64
9621 2.16
9621 2
9621 2.88
9621 0
9621 0
9621 0
9620 1.15
9620 0
9620 3.64
9620 2.16
9620 2
9620 2.88
9620 0
9620 0
9620 0
9619 1.15
9619 0
9619 3.64
9619 2.16
9619 2
9619 2.88
9619 0
9619 0
9619 0
9618 1.15
9618 0
9618 3.64
9618 2.16
9618 2
9618 2.88
9618 0
9618 0
9618 0
9617 1.15
9617 0
9617 3.64
9617 2.16
9617 2
9617 2.88
9617 0
9617 0
9617 0
9616 1.15
9616 0
9616 3.64
9616 2.16
9616 2
9616 2.88
9616 0
9616 0
9616 0
9700 1.15
9700 0
9700 3.64
9700 2.16
9700 2
9700 2.88
9700 0
9700 0
9700 0
9699 1.15
9699 0
9699 3.64
9699 2.16
9699 2
9699 2.88
9699 0
9699 0
9699 0
9698 1.15
9698 0
9698 3.64
9698 2.16
9698 2
9698 2.88
9698 0
9698 0
9698 0
9697 1.15
9697 0
9697 3.64
9697 2.16
9697 2
9697 2.88
9697 0
9697 0
9697 0
9696 1.15
9696 0
9696 3.64
9696 2.16
9696 2
9696 2.88
9696 0
9696 0
9696 0
9695 1.15
9695 0
9695 3.64
9695 2.16
9695 2
9695 2.88
9695 0
9695 0
9695 0
9694 1.15
9694 0
9694 3.64
9694 2.16
9694 2
9694 2.88
9694 0
9694 0
9694 0
9693 1.15
9693 0
9693 3.64
9693 2.16
9693 2
9693 2.88
9693 0
9693 0
9693 0
9692 1.15
9692 0
9692 3.64
9692 2.16
9692 2
9692 2.88
9692 0
9692 0
9692 0
9778 1.15
9778 0
9778 3.64
9778 2.16
9778 2
9778 2.88
9778 0
9778 0
9778 0
9777 1.15
9777 0
9777 3.64
9777 2.16
9777 2
9777 2.88
9777 0
9777 0
9777 0
9776 1.15
9776 0
9776 3.64
9776 2.16
9776 2
9776 2.88
9776 0
9776 0
9776 0
9775 1.15
9775 0
9775 3.64
9775 2.16
9775 2
9775 2.88
9775 0
9775 0
9775 0
9774 1.15
9774 0
9774 3.64
9774 2.16
9774 2
9774 2.88
9774 0
9774 0
9774 0
9773 1.15
9773 0
9773 3.64
9773 2.16
9773 2
9773 2.88
9773 0
9773 0
9773 0
9772 1.15
9772 0
9772 3.64
9772 2.16
9772 2
9772 2.88
9772 0
9772 0
9772 0
9771 1.15
9771 0
9771 3.64
9771 2.16
9771 2
9771 2.88
9771 0
9771 0
9771 0
9770 1.15
9770 0
9770 3.64
9770 2.16
9770 2
9770 2.88
9770 0
9770 0
9770 0
9769 1.15
9769 0
9769 3.64
9769 2.16
9769 2
9769 2.88
9769 0
9769 0
9769 0
9860 1.15
9860 0
9860 3.64
9860 2.16
9860 2
9860 2.88
9860 0
9860 0
9860 0
9859 1.15
9859 0
9859 3.64
9859 2.16
9859 2
9859 2.88
9859 0
9859 0
9859 0
9858 1.15
9858 0
9858 3.64
9858 2.16
9858 2
9858 2.88
9858 0
9858 0
9858 0
9857 1.15
9857 0
9857 3.64
9857 2.16
9857 2
9857 2.88
9857 0
9857 0
9857 0
9856 1.15
9856 0
9856 3.64
9856 2.16
9856 2
9856 2.88
9856 0
9856 0
9856 0
9855 1.15
9855 0
9855 3.64
9855 2.16
9855 2
9855 2.88
9855 0
9855 0
9855 0
9854 1.15
9854 0
9854 3.64
9854 2.16
9854 2
9854 2.88
9854 0
9854 0
9854 0
9853 1.15
9853 0
9853 3.64
9853 2.16
9853 2
9853 2.88
9853 0
9853 0
9853 0
9852 1.15
9852 0
9852 3.64
9852 2.16
9852 2
9852 2.88
9852 0
9852 0
9852 0
9851 1.15
9851 0
9851 3.64
9851 2.16
9851 2
9851 2.88
9851 0
9851 0
9851 0
9941 1.15
9941 0
9941 3.64
9941 2.16
9941 2
9941 2.88
9941 0
9941 0
9941 0
9940 1.15
9940 0
9940 3.64
9940 2.16
9940 2
9940 2.88
9940 0
9940 0
9940 0
9939 1.15
9939 0
9939 3.64
9939 2.16
9939 2
9939 2.88
9939 0
9939 0
