pt_graph shape
9547 1
9547 1
9547 1
9547 1
9547 1
9547 1
9547 1
9547 1
9547 1
9546 1
9546 1
9546 1
9546 1
9546 1
9546 1
9546 1
9546 1
9546 1
9545 1
9545 1
9545 1
9545 1
9545 1
9545 1
9545 1
9545 1
9545 1
9623 1
9623 1
9623 1
9623 1
9623 1
9623 1
9623 1
9623 1
9623 1
9622 1
9622 1
9622 1
9622 1
9622 1
9622 1
9622 1
9622 1
9622 1
9621 1
9621 1
9621 1
9621 1
9621 1
9621 1
9621 1
9621 1
9621 1
9620 1
9620 1
9620 1
9620 1
9620 1
9620 1
9620 1
9620 1
9620 1
9619 1
9619 1
9619 1
9619 1
9619 1
9619 1
9619 1
9619 1
9619 1
9618 1
9618 1
9618 1
9618 1
9618 1
9618 1
9618 1
9618 1
9618 1
9617 1
9617 1
9617 1
9617 1
9617 1
9617 1
9617 1
9617 1
9617 1
9616 1
9616 1
9616 1
9616 1
9616 1
9616 1
9616 1
9616 1
9616 1
9700 1
9700 1
9700 1
9700 1
9700 1
9700 1
9700 1
9700 1
9700 1
9699 1
9699 1
9699 1
9699 1
9699 1
9699 1
9699 1
9699 1
9699 1
9698 1
9698 1
9698 1
9698 1
9698 1
9698 1
9698 1
9698 1
9698 1
9697 1
9697 1
9697 1
9697 1
9697 1
9697 1
9697 1
9697 1
9697 1
9696 1
9696 1
9696 1
9696 1
9696 1
9696 1
9696 1
9696 1
9696 1
9695 1
9695 1
9695 1
9695 1
9695 1
9695 1
9695 1
9695 1
9695 1
9694 1
9694 1
9694 1
9694 1
9694 1
9694 1
9694 1
9694 1
9694 1
9693 1
9693 1
9693 1
9693 1
9693 1
9693 1
9693 1
9693 1
9693 1
9692 1
9692 1
9692 1
9692 1
9692 1
9692 1
9692 1
9692 1
9692 1
9778 1
9778 1
9778 1
9778 1
9778 1
9778 1
9778 1
9778 1
9778 1
9777 1
9777 1
9777 1
9777 1
9777 1
9777 1
9777 1
9777 1
9777 1
9776 1
9776 1
9776 1
9776 1
9776 1
9776 1
9776 1
9776 1
9776 1
9775 1
9775 1
9775 1
9775 1
9775 1
9775 1
9775 1
9775 1
9775 1
9774 1
9774 1
9774 1
9774 1
9774 1
9774 1
9774 1
9774 1
9774 1
9773 1
9773 1
9773 1
9773 1
9773 1
9773 1
9773 1
9773 1
9773 1
9772 1
9772 1
9772 1
9772 1
9772 1
9772 1
9772 1
9772 1
9772 1
9771 1
9771 1
9771 1
9771 1
9771 1
9771 1
9771 1
9771 1
9771 1
9770 1
9770 1
9770 1
9770 1
9770 1
9770 1
9770 1
9770 1
9770 1
9769 1
9769 1
9769 1
9769 1
9769 1
9769 1
9769 1
9769 1
9769 1
9860 1
9860 1
9860 1
9860 1
9860 1
9860 1
9860 1
9860 1
9860 1
9859 1
9859 1
9859 1
9859 1
9859 1
9859 1
9859 1
9859 1
9859 1
9858 1
9858 1
9858 1
9858 1
9858 1
9858 1
9858 1
9858 1
9858 1
9857 1
9857 1
9857 1
9857 1
9857 1
9857 1
9857 1
9857 1
9857 1
9856 1
9856 1
9856 1
9856 1
9856 1
9856 1
9856 1
9856 1
9856 1
9855 1
9855 1
9855 1
9855 1
9855 1
9855 1
9855 1
9855 1
9855 1
9853 1
9853 1
9853 1
9853 1
9853 1
9853 1
9853 1
9853 1
9853 1
9852 1
9852 1
9852 1
9852 1
9852 1
9852 1
9852 1
9852 1
9852 1
9941 1
9941 1
9941 1
9941 1
9941 1
9941 1
9941 1
9941 1
9941 1
9940 1
9940 1
9940 1
9940 1
9940 1
9940 1
9940 1
9940 1
9940 1
9938 1
9938 1
9938 1
9938 1
9938 1
9938 1
9938 1
9938 1
9938 1
9937 1
9937 1
9937 1
9937 1
9937 1
9937 1
9937 1
9937 1
9937 1
9936 1
9936 1
9936 1
9936 1
9936 1
9936 1
9936 1
9936 1
9936 1
9935 1
9935 1
9935 1
9935 1
9935 1
9935 1
9935 1
9935 1
9935 1
9934 1
9934 1
9934 1
9934 1
9934 1
9934 1
9934 1
9934 1
9934 1
10022 1
10022 1
10022 1
10022 1
10022 1
10022 1
10022 1
10022 1
10022 1
10021 1
10021 1
10021 1
10021 1
10021 1
10021 1
10021 1
10021 1
10021 1
10016 1
10016 1
10016 1
10016 1
10016 1
10016 1
10016 1
10016 1
10016 1
10015 1
10015 1
10015 1
10015 1
10015 1
10015 1
10015 1
10015 1
10015 1
10014 1
10014 1
10014 1
10014 1
10014 1
10014 1
10014 1
10014 1
10014 1
10103 1
10103 1
10103 1
10103 1
10103 1
10103 1
10103 1
10103 1
10103 1
10097 1
10097 1
10097 1
10097 1
10097 1
10097 1
10097 1
10097 1
10097 1
10264 1
10264 1
10264 1
10264 1
10264 1
10264 1
10264 1
10264 1
10264 1
10262 1
10262 1
10262 1
10262 1
10262 1
10262 1
10262 1
10262 1
10262 1
10359 1
10359 1
10359 1
10359 1
10359 1
10359 1
10359 1
10359 1
10359 1
10453 1
10453 1
10453 1
10453 1
10453 1
10453 1
10453 1
10453 1
10453 1
10451 1
10451 1
10451 1
10451 1
10451 1
10451 1
10451 1
10451 1
10451 1
10450 1
10450 1
10450 1
10450 1
10450 1
10450 1
10450 1
10450 1
10450 1
10445 1
10445 1
10445 1
10445 1
10445 1
10445 1
10445 1
10445 1
10445 1
10432 1
10432 1
10432 1
10432 1
10432 1
10432 1
10432 1
10432 1
10432 1
10547 1
10547 1
10547 1
10547 1
10547 1
10547 1
10547 1
10547 1
10547 1
10545 1
10545 1
10545 1
10545 1
10545 1
10545 1
10545 1
10545 1
10545 1
10657 1
10657 1
10657 1
10657 1
10657 1
10657 1
10657 1
10657 1
10657 1
10651 1
10651 1
10651 1
10651 1
10651 1
10651 1
